lat,lon,custo,nome
-22.9835398,-43.2160536,481.0,Leblon/Recém reformado-Vista fantástica!
-22.97293,-43.38321,569.0,Room For a Rent : Rio de Janeiro
-22.98339,-43.21436,293.0,Apartamento Blue a 1 quadra da praia de Ipanema
-22.97794,-43.18969,327.0,COPACABANA - Lindo apartamento na quadra da praia
-22.9754828,-43.188548,349.0,COPACABANA - ÓTIMA LOCALIZAÇÃO
-22.98088,-43.20042,227.0,IPANEMA  QUARTO + BANHEIRO PRIVADO
-22.97256,-43.18948,135.0,Quarto iluminado e acolhedor em Copacabana!
-22.94169,-43.18703,123.0,Rio de Janeiro for you! Go for it!
-23.03154,-43.47437,129.0,Amplo quarto com varanda e banheiro exclusivo.
-22.98923,-43.31657,458.0,Casa estilo cabana americana 4 quartos 6 lugares
-22.91423,-43.18236,143.0,Lapa Archs | Santa Teresa best studio for 2 people
-22.98812,-43.22897,407.0,Right in front of the beach in Rio!
-23.00744,-43.43045,650.0,Carnaval & Rock in Rio !!!
-22.91889,-43.18038,59.0,Quarto confortável com vista panorâmica
-22.98314,-43.19086,221.0,Nice 1 BR Apartment in Copacabana
-22.98697,-43.19751,1333.0,Ipanema WOW!  for 6+2
-22.98752,-43.31505,1125.0,House in garden
-22.9696,-43.1887,403.0,"Copacabana Studio -  5* Reviews, 5 mins to Beach"
-22.98114,-43.23899,150.0,Alugo quarto na Gávea com ar condicionado
-22.8957679,-43.3538124,193.0,"Quarto privado, próx Campo dos Afonsos"
-22.97575,-43.18877,157.0,excellent studio apartment
-22.93707,-43.19071,181.0,Green bedroom -Quartinho verde / Laranjeiras
-22.98282,-43.18935,1162.0,VISTA PRAIA COPA - Excelente Quarto
-22.98251,-43.22108,887.0,Leblon House Very sophisticated in the mettle of L
-22.98175,-43.22492,361.0,Charming 2 bedroom flat in Leblon
-22.97366,-43.20493,2832.0,Penthouse at Lagoa close to Ipanema
-22.98456,-43.1956,468.0,"2BR, 2 blocks from Ipanema Beach"
-22.95454,-43.17442,2039.0,URCA Amazing Penthouse w/ best view/ 230 m2
-22.96148,-43.20038,323.0,Suite in a Beautiful house - Lagoa / RJ
-22.97275,-43.41337,298.0,Lindo Apt. Rio Centro / Rock in Rio
-22.97854,-43.1904,231.0,Studio  70 meters from Copacabana beach
-22.98413,-43.19235,496.0,Quarto casal em Copacabana Posto 6
-22.96614,-43.18401,222.0,O MELHOR ESTÚDIO DE  COPACABANA
-22.9869,-43.19286,324.0,"Arpoador beach, the best part of Ipanema"
-22.97064,-43.18496,343.0,Quiet studio in the best of COPA
-22.97135,-43.18779,226.0,Studio in the HEART of Copacabana
-22.99327,-43.23481,453.0,Come and Feel at Home !!!
-22.96104,-43.17647,160.0,Excelent apt near Copacabana beach
-22.98015,-43.19098,1041.0,Penthouse & Private Airy and Quiet Terrace
-22.98401,-43.19035,2832.0,Penthouse Oceanview Copacab/Ipanema
-22.98026,-43.19109,530.0,Penthouse #1! Best Internet! Veranda! Expat US-DE
-22.98068,-43.191158,269.0,Penthouse #2! Best Internet! Veranda! Expat US-DE
-22.90544,-43.19471,625.0,Private room in downtown Rio
-22.96775,-43.18457,411.0,Copacabana flat/ Near to the beach/ 2 Rooms
-22.98057,-43.1995,439.0,9 minutes walk to Ipanema Beach/ Lagoon Wfi 500MB
-22.95156,-43.18891,343.0,Quarto em Botafogo
-22.95644,-43.19992,189.0,bedroom suite
-22.96055,-43.22285,631.0,Comfort and safety on your trip
-22.98586,-43.19411,343.0,Ipanena Beach near Fasano Hotel
-22.96582,-43.17786,349.0,Best Studio in Rio - Copacabana
-22.923691973028685,-43.17444340654645,162.0,1 bed apartment in beautiful Gloria
-22.94373,-43.19147,300.0,Ótimo quarto perto Cristo Redentor
-22.91666,-43.17947,294.0,Varandão Atelier Lounge Sta. Teresa
-22.9288,-43.24046,154.0,Suíte Casal (banheiro privativo)
-22.9828,-43.20467,347.0,Modern Loft 1 • Ipanema Posto 9 • 500  mb
-22.97923,-43.18902,250.0,Nice Flat in Copacabana  Ocean View
-22.969053,-43.388355,179.0,10 Suíte
-22.98238,-43.19215,250.0,Nice big studio in Copacabana
-22.96488,-43.17478,244.0,PRAIA DE COPACABANA!!   1 BLOCK FROM THE BEACH
-22.95382,-43.18908,414.0,Suíte Master Privativa ampla em Botafogo Metrô
-22.9365,-43.17868,368.0,"Rio, hospedagem e tranquilidade"
-22.98277,-43.1936,500.0,"10People Ipanema/Copa (Easter,AnoNovo, Feriado"
-22.961776553330363,-43.17607759712209,2237.0,COPACABANA 2 BLOCKS FROM THE BEACH
-22.9619,-43.1749,277.0,400 meters from Leme beach | Pi401
-22.995813369750977,-43.26896286010742,343.0,Xenia's Room Casa São Conrado
-22.96633,-43.17754,343.0,a ocean view quadruple room in copacabana
-22.96633,-43.17754,514.0,triple ocean view room in copacaban
-22.96745,-43.17654,362.0,triple ocean view room in copacaban
-22.96633,-43.17754,279.0,double/twin ocean view room in copa
